english_text,category,emotion,instruction,target_duration_sec
"Welcome to our church gathering today, we are very blessed to have so many good people here with us",GREETINGS,HAPPY,,13
"Hey there, I was just on my way to the store and I thought I should stop by to greet you",GREETINGS,NEUTRAL,,13
Good morning to the chief and all the elders who are sitting with us here at this important meeting,GREETINGS,NEUTRAL,,13
I hope you and your whole family are all doing well and staying strong and healthy during this rainy season,GREETINGS,NEUTRAL,,13
"Please accept my sincere apology for not coming to visit you sooner, I have been very busy with my work",GREETINGS,SAD,,13
"Hello everyone gathered here, I want to thank you all for making the time to come out here today",GREETINGS,HAPPY,,13
"Good afternoon doctor, I came here to see you because I have not been feeling very well since last week",GREETINGS,NEUTRAL,,13
"May God bless you and your entire household with good health, peace and plenty of happiness for many years to come",GREETINGS,HAPPY,,13
I was very happy to hear the good news about your daughter passing all her school exams with flying colors,GREETINGS,HAPPY,,13
"Good evening neighbor, I can smell something very delicious cooking in your kitchen and it is making me so hungry",GREETINGS,HAPPY,,13
"Please come and join us for dinner tonight at our house, my wife has cooked plenty of food for everyone",GREETINGS,HAPPY,,13
"Hello brother, I need to talk to you about something very important when you have some free time later today",GREETINGS,NEUTRAL,,13
"Good morning pastor, I wanted to ask you to please keep my family in your thoughts and prayers this whole week",GREETINGS,NEUTRAL,,13
It warms my heart so much every time I come back to this place and see all these familiar faces again,GREETINGS,HAPPY,,13
"Welcome to our market today, we have many fresh and beautiful things for you to look at and buy here",GREETINGS,HAPPY,,13
"Hey friend, do you remember that time when we were young children playing together down by the riverside every afternoon?",GREETINGS,HAPPY,,13
I came here today to personally thank you for everything that you did to help my mother when she was very sick,GREETINGS,HAPPY,,13
"Good morning my people, let us all stand together and work hard so that our community becomes a better place for everyone",GREETINGS,NEUTRAL,,13
"Hello madam, I am looking for the house of the teacher who lives somewhere on this street near the big cotton tree",GREETINGS,NEUTRAL,,13
"Please do not forget about me when you travel far away, always remember that you have good friends waiting here at home",GREETINGS,SAD,,13
I need to pay five thousand leones for the new bag of rice at the market today,NUMBERS_MONEY,NEUTRAL,,13
The total cost of all the building materials came to about three hundred thousand leones altogether,NUMBERS_MONEY,NEUTRAL,,13
She counted her money carefully three times before going inside the shop to buy the new fabric,NUMBERS_MONEY,NEUTRAL,,13
We need at least twenty bags of cement to finish building the new wall around our compound,NUMBERS_MONEY,NEUTRAL,,13
The taxi driver is asking for two thousand leones to take us all the way to the ferry terminal,NUMBERS_MONEY,NEUTRAL,,13
I saved up fifteen thousand leones every single week for three whole months to buy this new phone,NUMBERS_MONEY,HAPPY,,13
My rent costs four hundred thousand leones every single month and it keeps going up each year,NUMBERS_MONEY,SAD,,13
The school fees this year went up by thirty percent and now many parents cannot afford to pay them,NUMBERS_MONEY,SAD,,13
I borrowed fifty thousand leones from my neighbor last month and I still need to pay her back soon,NUMBERS_MONEY,NEUTRAL,,13
There are exactly seven hundred and forty two students enrolled at our school this whole academic year,NUMBERS_MONEY,NEUTRAL,,13
The fish seller at the wharf told me that one big basket of fish now costs about eight thousand leones,NUMBERS_MONEY,NEUTRAL,,13
"I need to buy three notebooks, two pens and one ruler for my daughter to take to school tomorrow",NUMBERS_MONEY,NEUTRAL,,13
My grandmother is celebrating her eightieth birthday next month and the whole family is planning a big party,NUMBERS_MONEY,HAPPY,,13
The doctor said I need to take two tablets every single morning and one more tablet every night before sleeping,NUMBERS_MONEY,NEUTRAL,,13
We collected about one million leones from all the donations at the church fundraiser event last Sunday morning,NUMBERS_MONEY,HAPPY,,13
I worked for twelve straight hours yesterday at the construction site and I only earned twenty five thousand leones,NUMBERS_MONEY,SAD,,13
The price of a gallon of petrol has gone up again to about fifteen thousand leones at the filling station,NUMBERS_MONEY,NEUTRAL,,13
My phone credit finished already and I need to buy at least five thousand leones more airtime to make calls,NUMBERS_MONEY,NEUTRAL,,13
There are thirty two children in my daughter class at school and only about fifteen desks for all of them,NUMBERS_MONEY,SAD,,13
The bus fare from Freetown to Bo town is now about forty five thousand leones for each person traveling one way,NUMBERS_MONEY,NEUTRAL,,13
I bought six bunches of very ripe plantains for about nine thousand leones at the market near the junction,NUMBERS_MONEY,NEUTRAL,,13
My mother needs to take her blood pressure medicine every day and each month it costs about twenty thousand leones,NUMBERS_MONEY,NEUTRAL,,13
We have about four hundred coconut palm trees on our family farmland that produce fruit all throughout the whole year,NUMBERS_MONEY,NEUTRAL,,13
The carpenter said he needs seventy five thousand leones to fix both the broken door and the two damaged windows,NUMBERS_MONEY,NEUTRAL,,13
I counted all the chairs in the meeting hall and there are exactly one hundred and fifty seats available for people,NUMBERS_MONEY,NEUTRAL,,13
The phone repair man at the corner is charging me ten thousand leones just to replace the cracked glass screen,NUMBERS_MONEY,NEUTRAL,,13
My family uses about three large bags of charcoal every single month for all of our cooking needs at home,NUMBERS_MONEY,NEUTRAL,,13
She makes about two hundred thousand leones every month selling fried fish and cassava leaves at the market stall,NUMBERS_MONEY,NEUTRAL,,13
The total population of our small village is now about nine hundred and sixty people according to the last count,NUMBERS_MONEY,NEUTRAL,,13
I need to divide this money equally among my five children so each one gets exactly the same fair amount,NUMBERS_MONEY,NEUTRAL,,13
The new well they are digging in our community will cost the village about two million leones when it is finished,NUMBERS_MONEY,NEUTRAL,,13
I paid the tailor fourteen thousand leones to sew two matching shirts for me and my younger brother to wear,NUMBERS_MONEY,NEUTRAL,,13
We harvested about sixty large bags of groundnuts from our farm this season which is much better than last year,NUMBERS_MONEY,HAPPY,,13
The electricity bill for our small shop came to about thirty five thousand leones for just the last two months alone,NUMBERS_MONEY,NEUTRAL,,13
My daughter scored ninety two percent on her final mathematics exam and the whole family is so very proud of her,NUMBERS_MONEY,HAPPY,,13
I need exactly four meters of that nice blue fabric to make a proper dress for my wife to wear to church,NUMBERS_MONEY,NEUTRAL,,13
The football team scored three goals in the first half and then two more goals in the second half of the game,NUMBERS_MONEY,EXCITED,,13
We sell about fifty plates of food every single day at our small restaurant near the busy main road junction,NUMBERS_MONEY,NEUTRAL,,13
The market woman said the tomatoes cost one thousand leones for a small pile and two thousand for the bigger pile,NUMBERS_MONEY,NEUTRAL,,13
I have been teaching at this same school now for fifteen long years and I have seen many students come and go,NUMBERS_MONEY,NEUTRAL,,13
The mechanic told me it would cost about sixty thousand leones to properly fix the engine problem in my old car,NUMBERS_MONEY,NEUTRAL,,13
We need to collect at least five hundred signatures from community members before we can submit our formal petition letter,NUMBERS_MONEY,NEUTRAL,,13
My husband sends me about one hundred dollars every single month from where he is working overseas to support our family,NUMBERS_MONEY,NEUTRAL,,13
The price of one bag of onions has doubled since last month and now costs about twelve thousand leones at the market,NUMBERS_MONEY,SAD,,13
I woke up at exactly five thirty this morning to prepare food for my children before they all go to school,NUMBERS_MONEY,NEUTRAL,,13
The church building committee needs about eight million leones more to finish constructing the new roof on the church building,NUMBERS_MONEY,NEUTRAL,,13
I planted two hundred cassava sticks on my small farm last month and most of them are already growing well and strong,NUMBERS_MONEY,HAPPY,,13
The distance from my house to the nearest health clinic is about seven kilometers walking along the main dusty road,NUMBERS_MONEY,NEUTRAL,,13
My sister birthday is on the twenty fifth of next month and she will be turning exactly thirty years old this time,NUMBERS_MONEY,NEUTRAL,,13
I have been saving small small amounts every week and now I finally have enough money to buy a new cooking pot,NUMBERS_MONEY,HAPPY,,13
The water truck comes to our area only about twice every single week and each barrel of water costs three thousand leones,NUMBERS_MONEY,NEUTRAL,,13
My younger brother just started his first year of secondary school and the uniform alone cost about forty thousand leones,NUMBERS_MONEY,NEUTRAL,,13
We need about ten bundles of zinc sheets to repair the damaged roof on our family house before the heavy rains come,NUMBERS_MONEY,NEUTRAL,,13
The tailor in our neighborhood can sew about eight complete outfits in one single week if she has enough fabric and thread,NUMBERS_MONEY,NEUTRAL,,13
I paid twenty thousand leones for a big bag of local palm oil to use for cooking at home this whole month,NUMBERS_MONEY,NEUTRAL,,13
There are about one hundred and twenty market stalls in the main market area and almost all of them are occupied now,NUMBERS_MONEY,NEUTRAL,,13
My son needs exactly three thousand five hundred leones to pay for his school exam registration fee before next Friday morning,NUMBERS_MONEY,NEUTRAL,,13
The boat ride across the river takes about forty five minutes and costs each passenger two thousand leones for the trip,NUMBERS_MONEY,NEUTRAL,,13
I bought a whole crate of soft drinks for about eighteen thousand leones to share at the naming ceremony this Saturday,NUMBERS_MONEY,NEUTRAL,,13
The mason says he can finish laying all the blocks for our new kitchen extension in about three working days time,NUMBERS_MONEY,NEUTRAL,,13
My grandmother kept chickens and at one time she had about thirty five hens all laying eggs every single day,NUMBERS_MONEY,NEUTRAL,,13
We donated about two hundred and fifty exercise books to the primary school children in the village near our farmland,NUMBERS_MONEY,HAPPY,,13
The bicycle repair man fixed my flat tire and tightened the chain and he charged me only five thousand leones total,NUMBERS_MONEY,NEUTRAL,,13
I walked for about two and a half hours through the bush path to reach my uncle farm on the other side,NUMBERS_MONEY,NEUTRAL,,13
The cost of living keeps going up every month and my salary has stayed the same exact amount for over two years,NUMBERS_MONEY,SAD,,13
We sold about eighty bunches of fresh bananas at the roadside market yesterday and made a very good profit overall,NUMBERS_MONEY,HAPPY,,13
My aunt is sending one hundred thousand leones to help pay for the funeral expenses of our late grandfather next week,NUMBERS_MONEY,SAD,,13
Can you please tell me exactly where the nearest hospital is located from here so I can go there?,QUESTIONS,QUESTION,,13
Do you know what time the last bus leaves from the main station to go to Waterloo this evening?,QUESTIONS,QUESTION,,13
Why did they decide to close down the only school in our village without telling any of the parents first?,QUESTIONS,QUESTION,,13
How much does it cost to send a large package by post from Freetown all the way to Makeni town?,QUESTIONS,QUESTION,,13
When is the next community meeting going to be held so that we can all come together and discuss the issues?,QUESTIONS,QUESTION,,13
Do you know if the doctor at the health center is available to see patients today or is he traveling?,QUESTIONS,QUESTION,,13
Who is going to take over the leadership of our youth group now that the old chairman has finally stepped down?,QUESTIONS,QUESTION,,13
What kind of seeds should I plant on my small farm this season if I want to get a really good harvest?,QUESTIONS,QUESTION,,13
Have you heard any news about whether they are going to fix the broken bridge on the main road soon?,QUESTIONS,QUESTION,,13
Can somebody please explain to me clearly how to fill out this government registration form in the right way?,QUESTIONS,QUESTION,,13
Where can I find a good and reliable mechanic who can fix the engine problem in my car for a fair price?,QUESTIONS,QUESTION,,13
Is it true that the price of rice has gone up again at all the shops and markets around town this week?,QUESTIONS,QUESTION,,13
How long does it usually take to travel by road from Freetown all the way to Kenema during the dry season?,QUESTIONS,QUESTION,,13
What time does the market in town usually open in the morning and what time does it close in the evening?,QUESTIONS,QUESTION,,13
Do you happen to know which radio station plays the local news in our own Krio language every single morning?,QUESTIONS,QUESTION,,13
Why are there so many potholes on this road when the government said they were going to fix it last year?,QUESTIONS,ANGRY,,13
Can you help me understand what this letter from the court is saying because the language is very hard to read?,QUESTIONS,QUESTION,,13
Have the teachers at the school been paid their full salaries yet or are they still waiting for their money?,QUESTIONS,QUESTION,,13
Who is the best person in this community to talk to about getting a small business loan to start my own shop?,QUESTIONS,QUESTION,,13
What did the chief say at the big meeting yesterday about the new land rules that everyone has been talking about?,QUESTIONS,QUESTION,,13
Is there anyone here who knows how to properly fix a leaking zinc roof before the heavy rains start coming?,QUESTIONS,QUESTION,,13
How often does the water supply come on in this area and is it safe enough to drink without boiling it first?,QUESTIONS,QUESTION,,13
Do you think it is better to sell my goods at the weekly market or at a permanent stall on the main street?,QUESTIONS,QUESTION,,13
Where exactly did they say the new health clinic is going to be built in our community area this coming year?,QUESTIONS,QUESTION,,13
Can you please tell me which documents I need to bring with me to register my new baby at the government office?,QUESTIONS,QUESTION,,13
Why does the electricity keep going off every single night when we are all paying our bills on time every month?,QUESTIONS,ANGRY,,13
Has anyone in this village ever tried growing cocoa trees on their farm and did it work well for them or not?,QUESTIONS,QUESTION,,13
How many people are expected to come to the big festival celebration that is happening in town this coming weekend?,QUESTIONS,QUESTION,,13
What should I do if my child has a very high fever at night and the health clinic is already closed down?,QUESTIONS,URGENT,,13
Is there a way to get clean drinking water in our community area without having to walk so far every single morning?,QUESTIONS,QUESTION,,13
Do you remember what the weather was like last year around this same time because I need to plan my farming activities?,QUESTIONS,QUESTION,,13
Who was the person that started the fire in the market last night and does anybody know how it actually happened?,QUESTIONS,QUESTION,,13
When are they going to finish building the new road that connects our village to the main highway on the other side?,QUESTIONS,QUESTION,,13
Can you lend me your phone for just a few minutes so I can call my mother and tell her I arrived here safely?,QUESTIONS,QUESTION,,13
How did your family manage to build such a nice and strong house with the small amount of money that you had available?,QUESTIONS,QUESTION,,13
What are the best types of fish to buy at the wharf market on Friday morning when the fishing boats first come in?,QUESTIONS,QUESTION,,13
Is it still possible to register my children for school this term or has the deadline already passed for new students?,QUESTIONS,QUESTION,,13
Why did the landlord increase the rent so much this year when he did not even fix any of the broken things in the house?,QUESTIONS,ANGRY,,13
Do you know if there is a trained midwife living anywhere near our village who can help pregnant women with their deliveries?,QUESTIONS,QUESTION,,13
How much money do I need to save up before I can realistically start my own small trading business at the market?,QUESTIONS,QUESTION,,13
What is the proper traditional way to greet the elders when you are visiting a new village for the very first time?,QUESTIONS,QUESTION,,13
Can someone please show me the correct way to tie this head wrap because I keep doing it wrong every single time?,QUESTIONS,QUESTION,,13
Where do all the young people in our community go to find work after they finish their education at secondary school?,QUESTIONS,QUESTION,,13
Is it safe enough to walk through the bush path alone at night or should I wait until the morning to travel there?,QUESTIONS,QUESTION,,13
How do the farmers in this area usually protect their crops from the animals that come and eat everything at night?,QUESTIONS,QUESTION,,13
What is the name of that very tall tree with the big round leaves that grows along the riverbank near the old bridge?,QUESTIONS,QUESTION,,13
Did you hear what the president said on the radio last night about the new plans for improving education in the country?,QUESTIONS,QUESTION,,13
Can you teach me how to cook a really good and tasty cassava leaf stew the traditional way like your grandmother used to make?,QUESTIONS,QUESTION,,13
Why do some people in the village still not want to send their young daughters to school when education is so very important?,QUESTIONS,QUESTION,,13
How many more years until the new dam project is finished so that we can finally have reliable electricity in our area?,QUESTIONS,QUESTION,,13
What would you do if you found a large amount of money on the ground and nobody was around to claim it back?,QUESTIONS,QUESTION,,13
Is the football match between the two rival teams still happening this Saturday afternoon at the big stadium near the market?,QUESTIONS,QUESTION,,13
How do you manage to keep your vegetable garden looking so green and healthy during the long dry season every single year?,QUESTIONS,QUESTION,,13
Do you think the new government policy on farming will actually help the small scale farmers in our rural communities this time?,QUESTIONS,QUESTION,,13
Where can I buy good quality second hand clothes at a very reasonable and affordable price somewhere in the Freetown area?,QUESTIONS,QUESTION,,13
What time should I wake up tomorrow morning if I want to catch the very first bus that leaves for Bo town?,QUESTIONS,QUESTION,,13
How long have you been living in this community and what is the biggest change you have seen here over all those years?,QUESTIONS,QUESTION,,13
Can you please recommend a good and affordable school for my young children that is somewhere close to where we live now?,QUESTIONS,QUESTION,,13
Who taught you how to weave baskets so beautifully like that because I would really love to learn how to do it myself?,QUESTIONS,QUESTION,,13
Is there any truth to what people are saying about the mining company planning to take over our farmland near the river?,QUESTIONS,QUESTION,,13
What is the best home remedy for a bad cough and sore throat that actually works well without needing to go see a doctor?,QUESTIONS,QUESTION,,13
Do you know the phone number of the ambulance service in case there is an emergency and someone gets very sick at night?,QUESTIONS,URGENT,,13
How are the young mothers in our village supposed to feed their small babies when the price of food keeps going up?,QUESTIONS,SAD,,13
Where exactly is the boundary line between our village land and the land that belongs to the other village across the hill?,QUESTIONS,QUESTION,,13
Can you explain to me in simple words what my rights are as a tenant when the landlord wants to increase my rent?,QUESTIONS,QUESTION,,13
What kind of business would you start if you had about five hundred thousand leones to invest in something new right now?,QUESTIONS,QUESTION,,13
Is there anyone in this community who owns a vehicle and can drive a very sick person to the hospital in an emergency?,QUESTIONS,URGENT,,13
How do I apply for the government assistance program that they were announcing on the radio for people who lost their homes?,QUESTIONS,QUESTION,,13
Please close the door behind you because the wind is blowing very hard and dust is coming inside the house,COMMANDS_REQUESTS,NEUTRAL,,13
Go to the market right now and buy me some fresh tomatoes and onions before all the good ones are taken,COMMANDS_REQUESTS,NEUTRAL,,13
Stop making that loud noise right now because the baby is sleeping in the other room and you will wake her up,COMMANDS_REQUESTS,ANGRY,,13
Please bring me a bucket of clean water from the well so that I can start cooking dinner for the family tonight,COMMANDS_REQUESTS,NEUTRAL,,13
Tell your sister to come home right away because her mother is looking for her and wants to talk to her now,COMMANDS_REQUESTS,URGENT,,13
Help me carry these heavy bags of rice inside the house before the rain starts falling and everything gets very wet,COMMANDS_REQUESTS,URGENT,,13
Please turn off the light when you leave the room because we need to save electricity and not waste any power,COMMANDS_REQUESTS,NEUTRAL,,13
Go and call the neighbor to come help us push this broken down car off the road before it blocks everyone,COMMANDS_REQUESTS,URGENT,,13
Make sure you wash your hands very well with soap and clean water before you sit down to eat your food,COMMANDS_REQUESTS,NEUTRAL,,13
Please tell the children to stop playing outside in the hot sun and come inside the house to drink some water,COMMANDS_REQUESTS,NEUTRAL,,13
Bring the medicine from the small cupboard in the kitchen and give it to your grandmother before she goes to sleep tonight,COMMANDS_REQUESTS,NEUTRAL,,13
Do not touch that broken wire on the ground because it might still have electricity running through it and it is dangerous,COMMANDS_REQUESTS,URGENT,,13
Please sweep the whole compound clean before the important visitors arrive here this afternoon so the place looks very nice,COMMANDS_REQUESTS,NEUTRAL,,13
Go and find out if the shop down the road is still open because I need to buy some kerosene for the lamp tonight,COMMANDS_REQUESTS,NEUTRAL,,13
Tell everyone in the family to come to the living room right now because I have some very important news to share with them,COMMANDS_REQUESTS,NEUTRAL,,13
Please watch the pot on the fire for me while I quickly run outside to get something that I forgot at the neighbors house,COMMANDS_REQUESTS,NEUTRAL,,13
Lock all the doors and windows properly before you go to bed tonight because there have been some thieves around the area lately,COMMANDS_REQUESTS,NEUTRAL,,13
Come and help me move this heavy table to the other side of the room so we have more space for the meeting,COMMANDS_REQUESTS,NEUTRAL,,13
Please go to the health center early tomorrow morning and collect the medicine that the doctor prescribed for your father last week,COMMANDS_REQUESTS,NEUTRAL,,13
Do not let the goats get into the vegetable garden again or they will eat everything that we have been growing this season,COMMANDS_REQUESTS,NEUTRAL,,13
Hand me that big cooking pot from the top shelf please because I need to start preparing the soup for tonight dinner,COMMANDS_REQUESTS,NEUTRAL,,13
Tell the driver to wait for me at the junction because I am almost ready and I will be there in just five minutes,COMMANDS_REQUESTS,NEUTRAL,,13
Please remind me to call the electrician tomorrow morning because the wiring in the back room has been sparking and is not safe,COMMANDS_REQUESTS,NEUTRAL,,13
Go and check if there is still water in the big drum outside because I need to do the laundry first thing in the morning,COMMANDS_REQUESTS,NEUTRAL,,13
Please take this letter to the chief house and make sure you put it directly into his own hands and nobody else,COMMANDS_REQUESTS,NEUTRAL,,13
Come quickly and see what is happening outside on the street because there is a big crowd of people gathering near the market,COMMANDS_REQUESTS,URGENT,,13
Do not forget to feed the chickens before you leave for school this morning because nobody else will be home to do it,COMMANDS_REQUESTS,NEUTRAL,,13
Please sit down quietly and listen carefully because I am going to explain something very important that affects all of us here today,COMMANDS_REQUESTS,NEUTRAL,,13
Tell the carpenter to come and look at the broken door frame as soon as he has time this week to do the work,COMMANDS_REQUESTS,NEUTRAL,,13
Wake up early tomorrow and prepare everything we need for the long journey to the village before the sun gets too hot,COMMANDS_REQUESTS,NEUTRAL,,13
Please put all the dirty clothes in the washing basin and soak them with soap and water so I can wash them later today,COMMANDS_REQUESTS,NEUTRAL,,13
Go back to the shop and tell the man he gave you the wrong change because this is less money than it should be,COMMANDS_REQUESTS,NEUTRAL,,13
Please take care of your younger brother while I am away at the meeting and make sure he does all his homework tonight,COMMANDS_REQUESTS,NEUTRAL,,13
Do not walk on that path near the river after dark because the ground is very slippery and you might fall and get hurt,COMMANDS_REQUESTS,NEUTRAL,,13
Bring me the phone charger from the bedroom please because my phone battery is almost completely dead and I need to make a call,COMMANDS_REQUESTS,NEUTRAL,,13
Please make sure the fire is completely out before you leave the cooking area because we do not want any accidents to happen,COMMANDS_REQUESTS,NEUTRAL,,13
Tell the teacher that my son will not be in school today because he woke up this morning with a very bad stomach ache,COMMANDS_REQUESTS,NEUTRAL,,13
Come and hold this wooden plank steady for me while I nail it into the wall so that it does not move around,COMMANDS_REQUESTS,NEUTRAL,,13
Please count all the money in the box carefully and write down the exact total amount on this piece of paper for me,COMMANDS_REQUESTS,NEUTRAL,,13
Go and tell the imam that we will be ready for the evening prayers in about thirty more minutes at the mosque,COMMANDS_REQUESTS,NEUTRAL,,13
Make sure you boil all the drinking water properly before giving it to the small children because they can get sick very easily,COMMANDS_REQUESTS,NEUTRAL,,13
Please pass me the salt and pepper from the other end of the table because this food needs some more seasoning on it,COMMANDS_REQUESTS,NEUTRAL,,13
Do not argue with your elders like that because it is very disrespectful and we raised you much better than that behavior,COMMANDS_REQUESTS,ANGRY,,13
Tell the boat man to wait for the other passengers to arrive because there are still about five more people who are coming,COMMANDS_REQUESTS,NEUTRAL,,13
Please write down your full name and phone number on this paper so that we can contact you if we need anything later,COMMANDS_REQUESTS,NEUTRAL,,13
Go outside and check if the clothes on the washing line are dry yet because it looks like rain clouds are coming this way,COMMANDS_REQUESTS,NEUTRAL,,13
Help your mother carry the groceries from the car into the kitchen and then come back outside to help me with the firewood,COMMANDS_REQUESTS,NEUTRAL,,13
Please do not pour dirty water into the gutter because it will block the drainage and cause flooding when the heavy rains come,COMMANDS_REQUESTS,NEUTRAL,,13
Take this food to the old woman who lives alone at the end of the street because she has been sick and cannot cook,COMMANDS_REQUESTS,NEUTRAL,,13
Please keep your voice down because the meeting in the next room is still going on and they need it to be very quiet,COMMANDS_REQUESTS,NEUTRAL,,13
Go and buy two packets of candles from the shop before it gets dark in case the electricity goes off again tonight,COMMANDS_REQUESTS,NEUTRAL,,13
Remind your father to take his blood pressure medicine before he eats breakfast tomorrow morning because he always forgets to take it,COMMANDS_REQUESTS,NEUTRAL,,13
Please share the food equally among all the children so that nobody is left out and everyone gets the same fair portion to eat,COMMANDS_REQUESTS,NEUTRAL,,13
Tell the driver to take the back road instead because the main highway has been blocked by a fallen tree since this morning,COMMANDS_REQUESTS,NEUTRAL,,13
Do not leave the house without telling someone where you are going because we need to know where you are at all times,COMMANDS_REQUESTS,NEUTRAL,,13
Please help me peel all these cassava before the sun goes down because I need to soak them in water overnight for processing,COMMANDS_REQUESTS,NEUTRAL,,13
Come and sit next to me because I want to show you how to do this properly so you can do it by yourself next time,COMMANDS_REQUESTS,NEUTRAL,,13
Go and borrow a ladder from our neighbor because I need to climb up and fix the hole in the roof before it rains,COMMANDS_REQUESTS,NEUTRAL,,13
Make sure everybody signs the attendance list before they leave the meeting so that we have a proper record of who came today,COMMANDS_REQUESTS,NEUTRAL,,13
Please be very careful when you cross that busy road because the cars and trucks drive very fast and do not always stop for people,COMMANDS_REQUESTS,NEUTRAL,,13
Tell the children to come inside the house right now because it is getting very dark outside and dinner is almost ready to eat,COMMANDS_REQUESTS,NEUTRAL,,13
Hang up the mosquito net over the bed before the children fall asleep tonight so that they do not get bitten by mosquitoes,COMMANDS_REQUESTS,NEUTRAL,,13
Please give this message to the headmaster when you see him at school tomorrow morning and tell him it is very urgent,COMMANDS_REQUESTS,NEUTRAL,,13
Stop wasting the clean water like that because we do not know when the water supply will come back on in our area,COMMANDS_REQUESTS,ANGRY,,13
Take the empty gas cylinder to the filling station and get it refilled so that we can continue cooking our food at home,COMMANDS_REQUESTS,NEUTRAL,,13
Please make a list of all the things we need to buy from the market this weekend so that we do not forget anything important,COMMANDS_REQUESTS,NEUTRAL,,13
Come and taste this soup and tell me honestly if it needs more salt or pepper before I serve it to the whole family,COMMANDS_REQUESTS,NEUTRAL,,13
I am so happy today because my daughter just passed all of her school exams with very good marks this year,EMOTIONS_HAPPY,HAPPY,,13
This is the best day of my whole life and I cannot stop smiling because everything went exactly the way I wanted,EMOTIONS_HAPPY,HAPPY,,13
